N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,57500.0,900.0,-1.54%,100.0,2796048.0,4266212.0,516339.0
2.0,LG에너지솔루션,482000.0,19000.0,+4.10%,500.0,178519.0,237641.0,7685.0
3.0,SK하이닉스,91700.0,700.0,-0.76%,5000.0,429978.0,963865.0,124103.0
4.0,삼성바이오로직스,838000.0,12000.0,+1.45%,2500.0,15680.0,79700.0,5373.0
5.0,삼성전자우,53100.0,600.0,-1.12%,100.0,,,
6.0,LG화학,610000.0,13000.0,-2.09%,5000.0,426547.0,511353.0,50255.0
7.0,현대차,196500.0,1000.0,+0.51%,5000.0,1176106.0,2339464.0,66789.0
8.0,삼성SDI,576000.0,1000.0,+0.17%,5000.0,135532.0,258332.0,10676.0
9.0,NAVER,234000.0,2000.0,-0.85%,100.0,68176.0,336910.0,13255.0
10.0,기아,80800.0,600.0,+0.75%,5000.0,698624.0,668500.0,50657.0
11.0,카카오,70200.0,1200.0,-1.68%,100.0,61367.0,227796.0,5949.0
12.0,셀트리온,184500.0,2000.0,-1.07%,1000.0,19116.0,56741.0,7569.0
13.0,삼성물산,116000.0,1000.0,-0.85%,100.0,344552.0,552454.0,11960.0
14.0,POSCO홀딩스,246000.0,7000.0,-2.77%,5000.0,763323.0,914716.0,92381.0
15.0,현대모비스,214000.0,2000.0,+0.94%,5000.0,417022.0,514825.0,20401.0
16.0,KB금융,47150.0,600.0,-1.26%,5000.0,589176.0,6638958.0,60976.0
17.0,신한지주,34600.0,300.0,-0.86%,5000.0,286756.0,6481522.0,59521.0
18.0,SK이노베이션,181500.0,3000.0,+1.68%,5000.0,468429.0,495574.0,17542.0
19.0,SK,224500.0,1000.0,+0.45%,200.0,983250.0,1653809.0,49355.0
20.0,LG전자,97300.0,400.0,-0.41%,5000.0,747216.0,534815.0,38638.0
21.0,삼성생명,64100.0,2500.0,+4.06%,500.0,350791.0,3413826.0,17010.0
22.0,한국전력,19850.0,500.0,-2.46%,5000.0,605748.0,2111089.0,-58601.0
23.0,포스코케미칼,164500.0,1500.0,+0.92%,500.0,19895.0,39225.0,1217.0
24.0,LG,78800.0,900.0,-1.13%,5000.0,68590.0,256698.0,24601.0
25.0,카카오뱅크,25850.0,250.0,-0.96%,5000.0,10649.0,360401.0,2569.0
26.0,두산에너빌리티,19100.0,100.0,-0.52%,5000.0,112836.0,237205.0,8779.0
27.0,현대중공업,133500.0,500.0,-0.37%,5000.0,83113.0,150787.0,-8003.0
28.0,고려아연,618000.0,26000.0,-4.04%,5000.0,99768.0,99640.0,10961.0
29.0,SK텔레콤,52600.0,200.0,+0.38%,100.0,167486.0,309113.0,13872.0
30.0,KT&G,83000.0,200.0,+0.24%,5000.0,52284.0,116373.0,13384.0
31.0,크래프톤,232000.0,4000.0,-1.69%,100.0,18863.0,56351.0,6396.0
32.0,하나금융지주,37700.0,200.0,+0.53%,5000.0,416778.0,5024453.0,46311.0
33.0,S-Oil,98400.0,700.0,-0.71%,2500.0,274639.0,186932.0,21409.0
34.0,LG생활건강,691000.0,4000.0,+0.58%,5000.0,80915.0,75552.0,12896.0
35.0,HMM,21350.0,250.0,-1.16%,5000.0,137941.0,178761.0,73775.0
36.0,삼성전기,136500.0,1500.0,+1.11%,5000.0,96750.0,99414.0,14869.0
37.0,한화솔루션,51100.0,700.0,-1.35%,5000.0,107252.0,200076.0,7383.0
38.0,삼성에스디에스,125500.0,500.0,-0.40%,500.0,136300.0,105174.0,8081.0
39.0,대한항공,26150.0,0.0,0.00%,5000.0,90168.0,266719.0,14180.0
40.0,KT,36650.0,0.0,0.00%,5000.0,248980.0,371593.0,16718.0
41.0,삼성화재,192000.0,0.0,0.00%,500.0,244443.0,949340.0,15069.0
42.0,SK바이오사이언스,111000.0,3000.0,+2.78%,500.0,9290.0,21101.0,4742.0
43.0,우리금융지주,11450.0,100.0,-0.87%,5000.0,271910.0,4471839.0,36597.0
44.0,LG이노텍,345500.0,9500.0,+2.83%,5000.0,149456.0,77414.0,12642.0
45.0,엔씨소프트,368000.0,9000.0,-2.39%,500.0,23088.0,45819.0,3752.0
46.0,카카오페이,58200.0,1000.0,-1.69%,500.0,4586.0,34327.0,-272.0
47.0,기업은행,9430.0,30.0,-0.32%,5000.0,174917.0,3980719.0,32313.0
48.0,아모레퍼시픽,119500.0,500.0,-0.42%,500.0,48631.0,61167.0,3434.0
49.0,하이브,168500.0,2000.0,+1.20%,500.0,12559.0,47289.0,1902.0
50.0,한국조선해양,91100.0,1900.0,-2.04%,5000.0,154934.0,272931.0,-13848.0
51.0,현대글로비스,171500.0,1000.0,+0.59%,500.0,217796.0,121709.0,11262.0
52.0,CJ제일제당,400000.0,500.0,-0.12%,5000.0,262892.0,268558.0,15244.0
53.0,한국항공우주,60600.0,500.0,+0.83%,5000.0,25623.0,58552.0,583.0
54.0,롯데케미칼,169000.0,1500.0,-0.88%,5000.0,181205.0,228700.0,15356.0
55.0,SK아이이테크놀로지,79600.0,100.0,-0.13%,1000.0,6038.0,31845.0,892.0
